timestamp;source;article_count;avg_fake_probability;response_time_s;sentiment_distribution;article_titles
2026-06-07 23:46:52;NYTimes;3;8.39;9.849;"{""Negatywne"": 1, ""Neutralne"": 2}";Israel Bombs Beirut Outskirts as Fighting With Hezbollah Escalates | Scott Pelley on the Bari Weiss Era and His Last Days at ‘60 Minutes’ | 5 Takeaways From Scott Pelley’s Interview With The New York Times
2026-06-07 23:46:52;PolsatNews;3;9.85;14.062;"{""Neutralne"": 3}";"Putin nie będzie zadowolony. Są pierwsze wyniki wyborów w Armenii | Koniec rozejmu? Izrael ostrzeliwany irańskimi rakietami | Noworodek w częstochowskim Oknie Życia. ""Jest w dobrym stanie"""
2026-06-08 08:47:48;NYTimes;3;4.86;7.072;"{""Negatywne"": 3}";Israel Bombs Beirut Outskirts as Fighting With Hezbollah Escalates | Iranians Sink Into Despair Facing War Deaths and Skyrocketing Inflation | Oil Surges, Asian Stocks Sink After Iran Strikes Israel
2026-06-08 08:47:48;PolsatNews;3;15.65;17.625;"{""Neutralne"": 3}";"Patryk Jaki: Zełenski gra z Niemcami przeciwko Polsce | ""Skradzione"" miliardy euro. Na Węgrzech chcą śledztwa ws. ludzi Orbana | Potężne trzęsienie ziemi na Filipinach. Budynki waliły się jak domki z kart"
2026-06-08 13:25:15;NYTimes;3;5.22;5.062;"{""Negatywne"": 2, ""Neutralne"": 1}";Resuming War Is a Short-Term Political Boon for Netanyahu, but Grim Choices Awai | Oil Surges After Hostilities Between Iran and Israel Escalate | Iran and Israel Exchange First Strikes Since Cease-Fire, and Texas Ranchers Soun
2026-06-08 13:25:15;PolsatNews;3;39.45;12.911;"{""Neutralne"": 3}";"Nowe ceny maksymalne paliw. Zmiana na stacjach benzynowych we wtorek | Fala krytyki po koncercie Dawida Podsiadły. ""Głos tragiczny"", ""odgrzewany kotlet | Europejski Nakaz Aresztowania dla Ziobry. Sprawę rozpozna nowy sędzia"
2026-06-08 18:50:25;NYTimes;3;2.77;5.369;"{""Negatywne"": 2, ""Neutralne"": 1}";Are U.S. and Israel on the Same Page in Mideast Wars? | Why Iran Risked an Attack on Israel | The 15-Hour Fight With Iran Showed the Bind Israel Is In
2026-06-08 18:50:25;PolsatNews;3;14.69;13.793;"{""Neutralne"": 3}";Wybory na prezydenta Krakowa. Znamy kandydatkę Lewicy | Zełenski bez Orderu Orła Białego? Tajemniczy komunikat po zebraniu kapituły | Tragiczny wypadek w Ząbkach. Prokuratura chce aresztu dla kierowcy taksówki z Tu
2026-06-09 12:18:11;NYTimes;3;6.64;6.849;"{""Neutralne"": 2, ""Negatywne"": 1}";A Challenge in the U.S.-Iran Talks: Both Sides Demand Victory | Trump Wants to Call the Shots. But in Iran, He Keeps Hitting His Limits. | Crew Is Rescued After U.S. Helicopter Goes Down Near Strait of Hormuz
2026-06-09 12:18:11;PolsatNews;3;14.19;16.759;"{""Neutralne"": 3}";"Wybory w Krakowie. Polsat News nieoficjalnie: KO i PSL wybrali wspólną kandydatk | Ebola zbiera śmiertelne żniwo. Ponad 100 ofiar, USA budują ośrodek kwarantanny | Będzie źle, a potem jeszcze gorzej. Tworzy się fatalny ""miks"" pogodowy"
2026-06-09 22:37:20;NYTimes;3;5.85;7.31;"{""Neutralne"": 2, ""Negatywne"": 1}";U.S. and Iran Zero In on Four Nuclear Issues in Talks | Netanyahu’s Bow to Trump’s Iran Pressure Spurs New Criticism | A Timeline of Donald Trump and Lindsey Graham’s Relationship Before the South Ca
2026-06-09 22:37:20;PolsatNews;3;11.1;15.638;"{""Neutralne"": 3}";"Ryszard Petru o płacy minimalnej: Tego wzrostu już wystarczy | Kibice FC Barcelony wściekli na papieża Leona XIV. ""Wszystko zepsuł"" | Błaszczak: Jeśli rząd będzie szanował Polskę, będzie szanowany przez Kijów"
2026-06-11 00:48:28;NYTimes;3;21.89;8.111;"{""Neutralne"": 1, ""Negatywne"": 1, ""Pozytywne"": 1}";Trump’s ‘Secret Mission’ to Ferry Oil Past Iran Was Widely Disclosed | FISA Surveillance Law May Expire After Trump Picks Bill Pulte for Intel Post | Will Trump’s Repairs to Washington D.C.’s Reflecting Pool Work?
2026-06-11 00:48:28;PolsatNews;3;15.86;6.668;"{""Neutralne"": 3}";Zakaz patostreamingu. Komisja zdecydowała o poprawkach do projektu | Wyniki losowania Lotto na 10 czerwca 2026. Padła szóstka w Lotto Plus | Autobusy z Kielc nie trafią do Ukrainy. Politycy prawicy wywołali awanturę
